iter	Passed	Remaining
0	193	238358
1	248	153224
2	315	129342
3	374	115067
4	437	107655
5	502	102939
6	566	99310
7	635	97399
8	701	95542
9	765	93664
10	837	93110
11	903	91965
12	953	89558
13	1018	88742
14	1083	88038
15	1146	87306
16	1227	87865
17	1287	86972
18	1352	86502
19	1417	86044
20	1476	85270
21	1543	85007
22	1599	84218
23	1673	84379
24	1745	84401
25	1837	85382
26	1920	85831
27	2022	87125
28	2076	86261
29	2242	89987
30	2303	89405
31	2367	88943
32	2435	88647
33	2510	88602
34	2587	88651
35	2652	88285
36	2721	88042
37	2790	87841
38	2855	87488
39	2925	87317
40	2997	87223
41	3062	86928
42	3132	86753
43	3195	86424
44	3258	86109
45	3324	85865
46	3392	85684
47	3465	85630
48	3531	85415
49	3589	85007
50	3645	84569
51	3695	84012
52	3753	83633
53	3810	83269
54	3866	82882
55	3933	82750
56	3986	82325
57	4043	81992
58	4098	81616
59	4153	81260
60	4205	80867
61	4256	80460
62	4308	80089
63	4362	79749
64	4413	79375
65	4452	78803
66	4506	78495
67	4573	78416
68	4638	78310
69	4704	78234
70	4772	78166
71	4831	77969
72	4888	77753
73	4948	77564
74	5012	77456
75	5074	77322
76	5132	77118
77	5193	76963
78	5252	76798
79	5322	76777
80	5380	76591
81	5442	76462
82	5502	76306
83	5561	76145
84	5617	75940
85	5677	75785
86	5743	75716
87	5808	75647
88	5871	75544
89	5943	75554
90	6004	75413
91	6070	75347
92	6134	75268
93	6195	75134
94	6250	74934
95	6304	74740
96	6357	74520
97	6422	74449
98	6484	74344
99	6550	74277
100	6615	74215
101	6691	74263
102	6743	74052
103	6806	73950
104	6883	74008
105	6942	73877
106	7003	73765
107	7068	73694
108	7135	73649
109	7199	73566
110	7265	73502
111	7325	73390
112	7391	73328
113	7457	73270
114	7520	73180
115	7587	73126
116	7652	73058
117	7714	72963
118	7777	72869
119	7842	72801
120	7907	72738
121	7970	72645
122	8034	72573
123	8095	72469
124	8165	72445
125	8227	72348
126	8294	72298
127	8359	72234
128	8424	72162
129	8487	72077
130	8547	71972
131	8612	71897
132	8670	71775
133	8734	71701
134	8803	71665
135	8868	71599
136	8931	71514
137	8998	71464
138	9062	71394
139	9123	71293
140	9184	71199
141	9246	71108
142	9309	71026
143	9374	70962
144	9435	70865
145	9499	70788
146	9561	70700
147	9614	70549
148	9673	70442
149	9738	70378
150	9801	70300
151	9862	70207
152	9931	70168
153	9990	70062
154	10052	69980
155	10112	69883
156	10174	69797
157	10234	69700
158	10295	69608
159	10353	69501
160	10415	69414
161	10473	69306
162	10534	69218
163	10595	69126
164	10649	68995
165	10706	68880
166	10768	68800
167	10827	68705
168	10885	68598
169	10946	68513
170	11006	68418
171	11066	68330
172	11127	68247
173	11189	68166
174	11250	68081
175	11303	67950
176	11358	67831
177	11418	67742
178	11480	67661
179	11540	67574
180	11593	67449
181	11648	67331
182	11711	67263
183	11773	67188
184	11836	67114
185	11892	67006
186	11946	66888
187	12009	66819
188	12072	66751
189	12127	66637
190	12183	66532
191	12240	66430
192	12301	66351
193	12362	66273
194	12417	66163
195	12479	66088
196	12536	65992
197	12598	65917
198	12656	65828
199	12717	65748
200	12786	65715
201	12847	65636
202	12908	65560
203	12970	65486
204	13035	65430
205	13118	65464
206	13178	65382
207	13237	65297
208	13296	65210
209	13352	65111
210	13412	65028
211	13472	64947
212	13530	64856
213	13594	64798
214	13654	64717
215	13711	64619
216	13770	64536
217	13831	64461
218	13886	64358
219	13948	64289
220	13994	64145
221	14054	64066
222	14116	63997
223	14177	63924
224	14236	63843
225	14296	63764
226	14357	63692
227	14419	63624
228	14479	63545
229	14537	63458
230	14592	63359
231	14648	63265
232	14705	63178
233	14765	63100
234	14822	63009
235	14855	62822
236	14913	62737
237	14970	62648
238	15024	62551
239	15082	62467
240	15143	62394
241	15198	62302
242	15254	62211
243	15340	62243
244	15401	62172
245	15461	62097
246	15521	62024
247	15581	61948
248	15643	61884
249	15702	61805
250	15793	61852
251	15875	61863
252	15941	61813
253	16010	61773
254	16088	61767
255	16147	61687
256	16205	61604
257	16251	61478
258	16310	61400
259	16368	61319
260	16425	61235
261	16473	61115
262	16531	61036
263	16589	60954
264	16647	60874
265	16682	60708
266	16717	60544
267	16777	60475
268	16826	60361
269	16872	60241
270	16929	60159
271	16993	60103
272	17055	60037
273	17117	59973
274	17175	59897
275	17239	59839
276	17302	59779
277	17363	59710
278	17414	59609
279	17470	59524
280	17532	59462
281	17593	59394
282	17653	59322
283	17704	59223
284	17759	59134
285	17804	59016
286	17865	58950
287	17901	58801
288	17962	58734
289	18019	58657
290	18077	58581
291	18136	58509
292	18259	58641
293	18340	58638
294	18402	58575
295	18466	58520
296	18523	58438
297	18581	58364
298	18641	58294
299	18695	58204
300	18763	58161
301	18824	58093
302	18882	58018
303	18941	57946
304	19000	57872
305	19056	57791
306	19111	57708
307	19173	57645
308	19230	57568
309	19295	57512
310	19354	57440
311	19410	57361
312	19457	57254
313	19516	57183
314	19578	57119
315	19637	57047
316	19695	56972
317	19757	56912
318	19817	56842
319	19875	56769
320	19934	56699
321	19991	56621
322	20049	56547
323	20096	56443
324	20154	56369
325	20210	56293
326	20287	56270
327	20344	56195
328	20407	56136
329	20465	56062
330	20524	55991
331	20585	55928
332	20642	55851
333	20700	55780
334	20763	55719
335	20821	55648
336	20896	55621
337	20955	55551
338	21013	55478
339	21075	55414
340	21135	55347
341	21196	55285
342	21254	55211
343	21309	55133
344	21369	55064
345	21426	54991
346	21489	54930
347	21548	54860
348	21584	54733
349	21621	54610
350	21679	54538
351	21736	54465
352	21797	54400
353	21856	54332
354	21920	54275
355	21976	54201
356	22035	54133
357	22080	54030
358	22135	53951
359	22196	53887
360	22255	53819
361	22316	53757
362	22372	53682
363	22431	53613
364	22490	53545
365	22538	53451
366	22602	53395
367	22656	53317
368	22715	53248
369	22775	53183
370	22831	53110
371	22891	53043
372	22949	52974
373	22986	52857
374	23046	52791
375	23105	52725
376	23164	52658
377	23225	52595
378	23287	52534
379	23346	52468
380	23403	52395
381	23461	52327
382	23518	52255
383	23575	52184
384	23635	52119
385	23696	52059
386	23755	51992
387	23816	51929
388	23873	51858
389	23932	51793
390	23990	51722
391	24050	51659
392	24106	51586
393	24164	51518
394	24224	51453
395	24283	51388
396	24342	51321
397	24398	51249
398	24457	51183
399	24523	51131
400	24581	51064
401	24615	50945
402	24673	50878
403	24736	50820
404	24794	50752
405	24842	50663
406	24901	50598
407	24958	50527
408	25020	50469
409	25095	50435
410	25135	50331
411	25213	50305
412	25276	50247
413	25345	50202
414	25424	50175
415	25484	50110
416	25560	50079
417	25612	49998
418	25667	49926
419	25729	49865
420	25783	49790
421	25831	49704
422	25913	49683
423	25986	49644
424	26055	49598
425	26119	49541
426	26193	49504
427	26273	49477
428	26346	49437
429	26418	49397
430	26495	49364
431	26565	49318
432	26637	49276
433	26701	49218
434	26763	49158
435	26818	49086
436	26876	49016
437	26934	48949
438	26989	48876
439	27052	48817
440	27107	48744
441	27165	48676
442	27224	48610
443	27283	48544
444	27336	48469
445	27378	48373
446	27424	48283
447	27484	48220
448	27540	48150
449	27595	48077
450	27650	48005
451	27709	47940
452	27769	47876
453	27828	47811
454	27883	47739
455	27942	47673
456	28000	47606
457	28059	47541
458	28116	47472
459	28172	47402
460	28239	47352
461	28347	47369
462	28403	47297
463	28455	47221
464	28532	47185
465	28604	47142
466	28665	47079
467	28720	47008
468	28776	46937
469	28826	46858
470	28878	46782
471	28929	46703
472	28984	46632
473	29040	46563
474	29095	46491
475	29155	46428
476	29214	46363
477	29274	46300
478	29332	46234
479	29393	46172
480	29452	46107
481	29506	46034
482	29561	45964
483	29611	45885
484	29668	45817
485	29722	45746
486	29771	45665
487	29826	45595
488	29892	45541
489	29954	45482
490	30019	45426
491	30078	45362
492	30140	45302
493	30210	45254
494	30286	45215
495	30356	45166
496	30419	45109
497	30453	45006
498	30510	44939
499	30561	44864
500	30619	44798
501	30672	44725
502	30730	44659
503	30795	44605
504	30857	44544
505	30913	44476
506	30969	44408
507	31025	44339
508	31077	44265
509	31134	44199
510	31194	44136
511	31252	44071
512	31310	44005
513	31370	43943
514	31428	43878
515	31484	43809
